1. What is your age group?,2.  What is your Occupation?,"3. What are your hobbies? 
(Choose more than one if needed)",4. How do you use your car most of the time?,"5. On average, how far do you drive each day?",6. How much would you spend on a car suitable for your needs?,7. How many seats does you need?,8. Which type of fuel would fit your lifestyle and driving habits?,"9. If you were to purchase a car today, which option would you choose?","10. Main reasons for your choice.
(Please select up to two)","11. Rank these factors by importance when choosing a car. Only choose 1 rank for each option. (1being the highest, 5 being the lowest). [Price]","11. Rank these factors by importance when choosing a car. Only choose 1 rank for each option. (1being the highest, 5 being the lowest). [Fuel & Efficiency]","11. Rank these factors by importance when choosing a car. Only choose 1 rank for each option. (1being the highest, 5 being the lowest). [Space & Practicality]","11. Rank these factors by importance when choosing a car. Only choose 1 rank for each option. (1being the highest, 5 being the lowest). [Performance]","11. Rank these factors by importance when choosing a car. Only choose 1 rank for each option. (1being the highest, 5 being the lowest). [Design]","Are you willing to participate in a short (5-minute) in-person session to review your AI-generated car recommendations?
(This is optional and only for evaluation purposes.)"
18–24,Student,"Relaxed & Minimalist Lifestyle, Outdoor Sports & Fitness",Highway / Long-distance,Medium commute (30–80 km),"Below 700,000 THB",3 - 5 seats,Hybrid,(1)MG 3 Hybrid+  D,Fuel & Efficiency,5,4,3,2,1,No
18–24,Student,"City Life & Socializing, Adventure & Travel, Outdoor Sports & Fitness",Highway / Long-distance,Medium commute (30–80 km),"Below 700,000 THB",3 - 5 seats,No preference,(3) MG VS HEV X,"Fuel & Efficiency, Performance, Design",1,2,3,5,4,No
18–24,Student,Relaxed & Minimalist Lifestyle,City commuting,Short distance (0–30 km),"Below 700,000 THB",5+ seats,Petrol/Diesel,(3) MG VS HEV X,"Fuel & Efficiency, Space & Practicality, Performance",3,2,5,4,1,No
18–24,Student,"Relaxed & Minimalist Lifestyle, Outdoor Sports & Fitness",City commuting,Short distance (0–30 km),"Below 700,000 THB",3 - 5 seats,Hybrid,(1)MG 3 Hybrid+  D,"Space & Practicality, Performance",1,3,2,4,5,Yes
18–24,Student,"City Life & Socializing, Outdoor Sports & Fitness",Eco-conscious lifestyle,Long commute (80–150 km),"Below 700,000 THB",3 - 5 seats,EV,(2) MG S5 EV PLUS D+,"Price, Fuel & Efficiency",4,5,3,1,2,No
18–24,Student,"City Life & Socializing, Relaxed & Minimalist Lifestyle",City commuting,Medium commute (30–80 km),"700,000 – 999,999 THB",3 - 5 seats,Hybrid,(3) MG VS HEV X,"Space & Practicality, Design",5,4,3,2,1,Yes
18–24,Student,"Adventure & Travel, Relaxed & Minimalist Lifestyle",Highway / Long-distance,Short distance (0–30 km),"Below 700,000 THB",3 - 5 seats,EV,(4) MG ES,"Fuel & Efficiency, Space & Practicality",5,2,3,4,1,No
18–24,Student,"Adventure & Travel, Relaxed & Minimalist Lifestyle, Outdoor Sports & Fitness",City commuting,Short distance (0–30 km),"700,000 – 999,999 THB",3 - 5 seats,Hybrid,(2) MG S5 EV PLUS D+,"Fuel & Efficiency, Design",2,1,4,3,5,Yes
18–24,Student,"City Life & Socializing, Adventure & Travel, Relaxed & Minimalist Lifestyle",Highway / Long-distance,Long commute (80–150 km),"700,000 – 999,999 THB",3 - 5 seats,Hybrid,(5) MG HS D,"Price, Fuel & Efficiency, Space & Practicality, Design",3,4,2,5,1,No
18–24,Student,"Adventure & Travel, Relaxed & Minimalist Lifestyle, Outdoor Sports & Fitness",Eco-conscious lifestyle,Medium commute (30–80 km),"700,000 – 999,999 THB",3 - 5 seats,Petrol/Diesel,(5) MG HS D,Performance,1,4,2,5,3,No
